phone_test_id,duration_s_est,P_total_W,avg_temp_C,delta_temp_C
573,32.08089959459551,2.3000368734183043,44.71514285714286,0.412
575,29.767799561548905,2.971824464790804,44.92933333333333,2.172
576,34.30311972421911,2.7674174175177315,45.741285714285716,1.36
578,34.88441460828098,2.162013548081624,44.376333333333335,1.099
579,32.856775323131366,2.159311353663248,45.029,0.165
58,29.827001863350148,2.5032109275368475,44.7776,1.276
581,32.22711038872726,1.6437426552065144,44.296285714285716,0.207
582,29.978402681887975,2.539171709972044,44.696,1.665
584,33.447458274889236,4.6180950651178145,45.12385714285715,5.344
585,31.60453722267647,2.488083829418614,45.952571428571424,0.596
586,30.405318865728216,2.3857042026210205,45.49585714285715,0.43
589,30.2542491218338,3.6487240703103248,44.836444444444446,4.23
59,30.986433231563247,2.2142926062916377,44.451555555555565,0.321
590,30.13828255035577,2.9948617957639567,46.055,1.671
591,34.3041618302495,2.585051966546038,46.13328571428572,0.836
593,29.928612423059796,1.6742731100153379,44.767428571428574,0.115
595,29.780039581984276,2.6340412269785616,43.68311111111111,1.901
596,27.790778690941398,2.4912284671809877,44.22775,0.596
597,33.50962818856258,2.92624813525889,44.736,1.884
598,29.767678858268226,2.1151453326200977,45.77583333333334,0.453
600,30.469546167234277,7.44759757019374,31.48975,10.346
602,30.08833618094525,3.7262386436310337,38.47233333333334,2.982
603,30.548417955243856,4.311636307745043,40.960375,2.982
604,29.51689518219335,4.504282553410502,43.18071428571428,2.863
605,30.07757982797308,4.071918907720623,44.79222222222222,2.489
606,33.68010520447131,2.7757622321081317,45.2027,0.263
607,31.491843431852413,2.3425161553224667,44.369699999999995,0.275
608,26.32316889743997,1.8648049249410072,43.861125,0.137
609,33.31447051346595,3.3476957094341357,44.308727272727275,2.564
61,29.892620309389834,2.802561673513928,44.487,1.94
612,29.760283756710177,2.16005416902336,44.474333333333334,0.366
614,32.282397103564,3.0364357295257403,45.94118181818182,1.981
616,34.516050160167815,2.599547328956708,44.885400000000004,1.159
617,29.953998289893235,2.1784581266407153,45.64977777777778,0.238
619,32.3307019319174,4.247425814916601,45.123,4.966
62,32.9185261301617,2.903435670907132,44.901900000000005,1.157
620,29.907246464074667,2.0981953345447018,47.022400000000005,0.191
621,32.46903626877538,1.8582092335774643,45.48354545454546,0.119
622,32.63414871782325,2.235479332732111,45.5595,0.739
624,33.1394070651103,1.8892057989146651,45.48118181818182,0.215
625,35.02285003253358,2.1498699257786567,44.792,0.665
626,34.55355102953495,1.7533199394822192,44.016333333333336,0.343
627,34.1730110732387,2.0430086435863877,44.703900000000004,0.527
628,32.97451475685681,2.8150779377488044,45.525400000000005,1.962
63,33.782659794814506,2.3496680392283436,44.636166666666654,0.274
632,29.95902052317125,2.1938936204260995,44.31911111111111,0.733
633,29.82616917665982,1.8295925526601993,44.9156,0.274
634,34.733974380904066,2.083994512295023,45.022,0.721
635,34.0905269738495,2.510040195789253,46.01066666666666,1.384
637,33.586249390583056,1.6265636381333264,43.963,0.16
638,30.025395475903487,2.28465826720092,44.31144444444445,1.283
639,29.41627900669565,1.680593456050214,44.032875,0.069
640,30.26164335421011,2.8034411088318243,44.622800000000005,1.27
642,30.567794368186387,2.764306576464757,44.48377777777778,1.798
643,34.460335153529705,2.316898388953191,44.989599999999996,0.536
644,34.66335162143392,2.159196658690095,45.2091,0.546
645,31.876758113270743,2.997594663185642,45.6834,1.121
647,32.17562613863802,1.8161907944916722,44.4223,1.008
648,31.64517863081644,1.732076302663799,44.8,0.436
649,31.763176379719745,2.209729535891564,44.4886,0.206
650,29.99544901825836,2.1297478481190364,44.94772727272727,0.435
653,34.3342484760358,4.315112564744447,45.549800000000005,4.436
654,33.726535854755596,2.210342660777256,46.2135,0.406
656,25.330308197361852,2.1400121774138405,45.215125,0.661
657,32.698570164127155,2.801299675803274,45.5268,1.703
659,33.08691973859047,1.6339887915569127,45.22292307692308,0.168
66,29.597558433665462,2.9117906868281813,43.9664,1.741
660,33.98761826302037,2.247322610513875,45.0286,0.583
661,33.9475214212111,2.6427568565858306,45.44253333333333,0.429
662,31.146532748193323,3.271865309178313,46.300066666666666,1.694
664,33.733467639541935,2.896846213504985,46.52890909090909,1.575
665,29.995424097577697,1.9772222858749122,46.429666666666655,0.454
667,30.51577278714682,1.8053742366047765,43.84209090909091,0.802
668,30.002145977242836,2.7783013276192396,45.22963636363636,1.862
67,29.945307772228077,3.7442027262776607,45.12157142857143,2.092
670,29.33457188529568,4.1495637460118004,45.75272727272727,4.791
671,30.143537955704854,2.118567471868838,46.3733,0.525
672,31.76523582971862,2.2437073466748862,46.19527272727273,0.525
673,30.567785402954776,2.801389268838642,46.731300000000005,1.479
674,29.91397329714954,2.0110143310762503,46.52463636363636,0.214
676,29.990330684281407,1.6696788884106903,43.915800000000004,0.435
677,32.0511929417829,3.0701017643471937,44.7945,2.448
680,30.915247036918206,2.800556628145603,45.74554545454546,2.112
681,33.4582192706319,1.768125061333628,45.89336363636364,0.405
682,31.51039780484572,1.7438550074905677,45.201181818181816,0.239
683,32.62772354980696,2.9581842218523713,45.5998,1.454
685,30.005839317979248,2.6036190546814297,45.8292,0.979
686,34.89312109533536,2.0807942288001904,46.1346,0.501
687,33.44993133174275,2.236932873132496,46.4616,0.978
689,30.117661804999795,2.7522614649401254,46.09963636363636,1.814
69,29.9440639333836,3.298500438007821,45.117428571428576,2.413
692,30.05052012194906,2.4549215022110977,44.759800000000006,0.371
693,34.36631762722188,3.1684189787546413,44.6072,1.456
695,28.26270220830667,2.0063819652507835,42.81744444444445,0.252
696,29.988666909341966,2.2916530837384923,42.497181818181815,1.535
697,34.00581941286908,3.7016588681983955,44.107,2.671
698,30.599735875506912,3.228827248769946,44.95625,1.523
699,30.05208191402641,2.3271412343435203,44.62357142857143,0.412
7,31.34881667241493,2.8885697966290826,44.093714285714285,2.086
700,33.81654487506731,2.4836879199307265,44.537571428571425,1.78
701,33.364261206289015,3.060480865098628,44.943375,2.086
702,33.959092524318464,2.8285539706696787,45.67636363636364,1.265
704,30.455350724587056,2.20985657359927,44.9527,0.373
705,34.24428276808326,2.2822756583718786,44.6239,0.549
706,32.70553005262878,2.1190133561045763,44.760714285714286,0.549
708,34.29332668893453,2.6393776497981443,44.482571428571426,1.031
709,30.078308821012683,2.9032479691476194,45.746875,1.639
711,29.9832138230392,2.2909377028562106,45.38725,1.204
713,32.55650116285815,2.2864900508696087,44.87757142857143,0.46
714,30.13406771054377,1.7811998206010347,45.01257142857143,0.208
715,32.72696377577853,2.429360986393816,45.14183333333334,0.963
716,33.80730486987545,2.9505399612284293,46.434125,1.337
718,33.73595689565893,1.7945964357036057,44.30622222222222,1.054
719,34.19615467761805,2.176726789948678,44.548300000000005,0.275
72,27.294599737222246,3.819187201995905,44.74433333333334,3.291
721,29.96371011373464,2.7787287917271355,44.145125,2.045
722,30.914881602377548,2.80510179904201,45.0979,1.738
724,31.50504759358072,2.3975833959822603,45.047,0.468
725,32.203143253777775,2.4024143665207034,45.1968,0.191
726,30.07333844946536,2.6128595643626302,45.530800000000006,1.074
