phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
157,71.0,355.0,0.6862745098039216,0.6352142718764505,4.483283144436474
158,39.0,195.0,0.4143790849673203,0.35495779486122897,2.8486486096634747
159,80.0,400.0,0.5241830065359476,0.37519905329778225,2.862493171471665
16,62.0,310.0,0.28104575163398693,0.2248590713902173,2.8634579380401037
160,47.0,235.0,0.5673202614379085,0.3646464129041816,2.4347065358124373
161,44.0,220.0,0.4849673202614379,0.25070839390711086,2.8028849007041483
162,61.0,305.0,0.5477124183006535,0.361389780762839,2.331819568602813
163,16.0,80.0,0.5241830065359476,0.19058348748016438,3.7424171337673426
164,57.0,285.0,0.6379084967320261,0.5176953421665682,3.215187324364384
165,97.0,485.0,0.37777777777777777,0.30444161294094574,1.275515155427292
166,33.0,165.0,0.28496732026143795,0.19549398664649775,2.661210113172822
167,43.0,215.0,0.5934640522875817,0.33045243184871664,3.806238954467441
168,91.0,455.0,0.5320261437908497,0.5927983972809547,2.096241342694542
169,88.0,440.0,0.403921568627451,0.3343610272843723,2.4953260716225443
17,97.0,485.0,0.534640522875817,0.6132388677141752,3.0465181771488363
170,39.0,195.0,0.5477124183006535,0.4012517300371484,1.9476343249223864
171,59.0,295.0,0.49019607843137253,0.3188486098238948,1.3691859792813692
172,70.0,350.0,0.47843137254901963,0.34566795323724375,3.3563489779944504
173,94.0,470.0,0.2954248366013072,0.2530349233669916,1.7760315903189274
174,4.0,20.0,0.38169934640522873,0.15214116815574194,2.8014187641884853
175,75.0,375.0,0.49542483660130715,0.49351240851717165,2.6106820530699806
176,18.0,90.0,0.1607843137254902,0.15302711196547467,2.4544936444188443
177,48.0,240.0,0.16339869281045752,0.16921831340421456,2.8037145301924316
178,77.0,385.0,0.5660130718954248,0.4906176119948988,1.9402247007906723
179,42.0,210.0,0.4562091503267974,0.2894418848832013,2.0560785365523064
18,32.0,160.0,0.6392156862745098,0.2932171307879986,2.1874075359561447
180,69.0,345.0,0.8026143790849672,0.6838318601334571,2.38570269320968
181,41.0,205.0,0.34509803921568627,0.24610325319877865,3.7846771316998673
182,10.0,50.0,0.44183006535947716,0.16855910777942326,1.5928364721578534
183,95.0,475.0,0.1803921568627451,0.23922738444282865,1.5949966373302793
184,94.0,470.0,0.3908496732026144,0.36843038300767295,1.809626660103312
185,40.0,200.0,0.6039215686274509,0.3259197139496915,2.743516018550675
186,95.0,475.0,0.3869281045751634,0.3173785937827858,1.3136038579641947
187,48.0,240.0,0.4496732026143791,0.2948662400857084,3.070805862304467
188,46.0,230.0,0.45359477124183006,0.2459069787185681,3.53418924214341
189,95.0,475.0,0.42745098039215684,0.4684217153854542,1.9096565060106752
19,39.0,195.0,0.39738562091503266,0.21454605171372612,2.196149758944018
190,19.0,95.0,0.28627450980392155,0.15799716683187523,2.6932847232782136
191,9.0,45.0,0.5320261437908497,0.2079616996039326,1.621374585614453
192,92.0,460.0,0.1568627450980392,0.21118480037327678,2.805103127211029
193,85.0,425.0,0.49411764705882355,0.5169468333421267,2.038323509473746
194,48.0,240.0,0.4993464052287582,0.28651616689463477,2.097359476451011
195,62.0,310.0,0.1111111111111111,0.17312024200354084,2.1232007918707585
196,32.0,160.0,0.6888888888888889,0.30951280214780597,2.134511760654349
197,22.0,110.0,0.5124183006535947,0.2703784256463536,1.8342884221938063
198,37.0,185.0,0.5751633986928104,0.2851586944675887,2.5959881256957176
199,8.0,40.0,0.265359477124183,0.1580544329156613,1.3894183046578745
2,52.0,260.0,0.37254901960784315,0.2947954790273815,4.854109314499851
20,16.0,80.0,0.5150326797385621,0.18945881773155512,1.6446757335580642
200,8.0,40.0,0.5843137254901961,0.1642319768940058,3.0657349439963686
201,47.0,235.0,0.4,0.2447160936557814,1.728930128658367
202,6.0,30.0,0.6,0.18145295082000584,1.7152077270407948
203,32.0,160.0,0.5856209150326798,0.33930821994359,2.729630289167012
204,47.0,235.0,0.6705882352941176,0.3960375927114534,1.7531723221458946
205,23.0,115.0,0.49411764705882355,0.2449303678274087,3.3658680045015132
206,71.0,355.0,0.3934640522875817,0.2803667186969598,2.2284345783300057
207,69.0,345.0,0.477124183006536,0.46880981286261925,1.9493302641509123
208,27.0,135.0,0.44313725490196076,0.19610594128648762,1.733988444800235
209,69.0,345.0,0.43529411764705883,0.48858285941564544,1.719427663237988
21,18.0,90.0,0.44575163398692813,0.22606734153919,2.2616627444261157
210,7.0,35.0,0.7738562091503268,0.19653237182262825,3.3974285762103267
211,47.0,235.0,0.5934640522875817,0.46756326702724005,2.2571268280789214
212,3.0,15.0,0.3254901960784314,0.14400489328502092,2.0689780914081886
213,39.0,195.0,0.5385620915032681,0.3065618676561187,1.8534010053766452
